homeDX,NUM,homeDX
weiterhin,ADV,weiterhin
regelmäßig,ADV,regelmäßig
kostenfrei,AUX,kostenfrei
testen,VERB,testen
zu,PART,zu
lassen,VERB,lassen
–,PUNCT,--
dies,PRON,dieser
gilt,VERB,gelten
natürlich,ADV,natürlich
auch,ADV,auch
für,ADP,für
Geimpfte,NOUN,Geimpft
und,CCONJ,und
Genesene,NOUN,Genesene
.,PUNCT,--
Denn,CCONJ,denn
:,PUNCT,--
Geimpfte,NOUN,Geimpft
erkranken,VERB,erkranken
in,ADP,in
der,DET,der
Regel,NOUN,Regel
nicht,PART,nicht
schwer,ADV,schwer
",",PUNCT,--
können,AUX,können
sich,PRON,sich
aber,ADV,aber
infizieren,VERB,infizieren
und,CCONJ,und
auch,ADV,auch
übertragen,VERB,übertragen
.,PUNCT,--
Die,DET,der
Resonanz,NOUN,Resonanz
der,DET,der
Nutzenden,NOUN,Nutzende
aus,ADP,aus
der,DET,der
ersten,ADJ,erster
Runde,NOUN,Runde
des,DET,der
Projekts,NOUN,Projekt
war,AUX,sein
durchweg,ADV,durchweg
positiv,ADV,positiv
.,PUNCT,--
Die,DET,der
Auswertung,NOUN,Auswertung
durch,ADP,durch
das,DET,der
Institut,NOUN,Institut
für,ADP,für
Molekulare,ADJ,Molekular
Diagnostik,NOUN,Diagnostik
und,CCONJ,und
Bioanalytik,NOUN,Bioanalytik
(,PUNCT,--
IMDB,PROPN,IMDB
),PUNCT,--
ergab,VERB,ergeben
",",PUNCT,--
dass,SCONJ,dass
fast,ADV,fast
drei,NUM,drei
Viertel,NOUN,Viertel
der,DET,der
Befragten,NOUN,befragter
sich,PRON,sich
genauso,ADV,genauso
sicher,ADV,sicher
gefühlt,VERB,fühlen
hat,AUX,haben
wie,ADP,wie
in,ADP,in
einem,DET,ein
stationären,ADJ,stationär
Testzentrum,NOUN,Testzentrum
",",PUNCT,--
gut,ADV,gut
ein,DET,ein
Fünftel,NOUN,Fünftel
fühlte,VERB,fühlen
sich,PRON,sich
sogar,ADV,sogar
sicherer,ADV,sicher
.,PUNCT,--
Generell,ADV,generell
war,AUX,sein
die,DET,der
Akzeptanz,NOUN,Akzeptanz
eines,DET,ein
solchen,DET,solcher
telemedizinischen,ADJ,telemedizinisch
Testzentrums,NOUN,Testzentrum
sehr,ADV,sehr
hoch,ADV,hoch
–,PUNCT,--
knapp,ADV,knapp
75,NUM,75
Prozent,NOUN,Prozent
der,DET,der
Befragten,NOUN,befragter
gaben,VERB,geben
an,ADP,an
",",PUNCT,--
homeDX,NUM,HomeDX
auch,ADV,auch
in,ADP,in
Zukunft,NOUN,Zukunft
nutzen,VERB,nutzen
zu,PART,zu
wollen,AUX,wollen
.,PUNCT,--
Dazu,ADV,dazu
haben,AUX,haben
sie,PRON,sie
jetzt,ADV,jetzt
Gelegenheit,NOUN,Gelegenheit
:,PUNCT,--
Accounts,NOUN,Account
und,CCONJ,und
Token,NOUN,Toke
aus,ADP,aus
der,DET,der
ersten,ADJ,erster
Projektphase,NOUN,Projektphase
wurden,AUX,werden
reaktiviert,VERB,reaktivieren
.,PUNCT,--
Stephan,PROPN,Stephan
von,ADP,von
Dassel,PROPN,Dassel
:,PUNCT,--
„,PUNCT,--
Mit,ADP,mit
der,DET,der
Fortführung,NOUN,Fortführung
der,DET,der
digital,ADV,Digital
gestützten,ADJ,gestützt
Covid-19-Selbsttestung,NOUN,Covid-19-Selbsttestung
von,ADP,von
DiagnostikNet-BB,PROPN,DiagnostikNet-BB
ermöglicht,VERB,ermöglichen
das,DET,der
Bezirksamt,NOUN,Bezirksamt
sowohl,CCONJ,sowohl
seinen,DET,sein
Mitarbeitenden,NOUN,Mitarbeitende
als,CCONJ,als
auch,ADV,auch
allen,DET,aller
Berlinerinnen,NOUN,Berlinerin
und,CCONJ,und
Berlinern,NOUN,Berliner
weiterhin,ADV,weiterhin
die,DET,der
professionelle,ADJ,professionell
Verifizierung,NOUN,Verifizierung
durchgeführter,ADV,durchgeführter
Selbsttests,PROPN,Selbsttest
.,PUNCT,--
Dadurch,ADV,dadurch
leisten,VERB,leisten
wir,PRON,wir
unseren,DET,unser
Beitrag,NOUN,Beitrag
zu,ADP,zu
mehr,DET,mehr
gesundheitlicher,ADJ,gesundheitlich
Sicherheit,NOUN,Sicherheit
in,ADP,in
der,DET,der
kalten,ADJ,kalt
Jahreszeit,NOUN,Jahreszeit
und,CCONJ,und
fördern,VERB,fördern
die,DET,der
Weiterentwicklung,NOUN,Weiterentwicklung
telemedizinischer,ADJ,telemedizinisch
Plattformen,NOUN,Plattform
wie,ADP,wie
homeDX,NUM,homeDX
.,PUNCT,--
“,PUNCT,--
Die,DET,der
kontinuierliche,ADJ,kontinuierlich
Beobachtung,NOUN,Beobachtung
der,DET,der
Infektionslage,NOUN,Infektionslage
ist,AUX,sein
essentiell,ADV,essentiell
",",PUNCT,--
um,SCONJ,um
auch,ADV,auch
zukünftig,ADV,zukünftig
Beschränkungen,NOUN,Beschränkung
am,ADP,an
Arbeitsplatz,NOUN,Arbeitsplatz
sowie,CCONJ,sowie
im,ADP,in
öffentlichen,ADJ,öffentlich
Leben,NOUN,Leben
so,ADV,so
gering,ADV,gering
wie,ADP,wie
möglich,ADV,möglich
zu,PART,zu
halten,VERB,halten
.,PUNCT,--
Medienkontakt,NOUN,Medienkontakt
:,PUNCT,--
Bezirksamt,ADP,Bezirksamt
Mitte,NOUN,Mitte
",",PUNCT,--
Pressestelle,NOUN,Pressestelle
",",PUNCT,--
E-Mail,NOUN,E-Mail
:,PUNCT,--
presse@ba-mitte.berlin.de,X,presse@ba-mitte.berlin.de
